invoice_id,claim_id,part,part_cost,labor_hours,labor_rate,labor_cost,tax,total,invoice_date
INV000054,CLM013164,pump,180.0,1.2,85,102.0,19.74,301.74,2025-02-04
INV000055,CLM002849,heating element,95.0,0.7,85,59.5,10.82,165.32,2024-11-09
INV000056,CLM005961,thermostat,120.0,0.7,95,66.5,13.06,199.56,2024-06-29
INV000057,CLM013679,blower motor,260.0,2.1,110,231.0,34.37,525.37,2025-05-15
INV000058,CLM012606,belt,25.0,3.9,110,429.0,31.78,485.78,2024-05-25
INV000059,CLM010117,pump,180.0,3.5,125,437.5,43.23,660.73,2025-03-30
INV000060,CLM015140,compressor,850.0,3.1,125,387.5,86.63,1324.13,2024-04-18
INV000061,CLM010058,belt,25.0,1.2,110,132.0,10.99,167.99,2025-04-14
INV000062,CLM012435,thermostat,120.0,1.4,95,133.0,17.71,270.71,2024-06-30
INV000063,CLM000961,belt,25.0,0.5,125,62.5,6.13,93.63,2024-08-29
INV000064,CLM004669,control board,230.0,3.2,85,272.0,35.14,537.14,2024-05-02
INV000065,CLM015336,thermostat,120.0,1.0,95,95.0,15.05,230.05,2025-01-27
INV000066,CLM003641,drain pump,150.0,1.7,110,187.0,23.59,360.59,2024-09-23
INV000067,CLM005244,pump,180.0,2.6,125,325.0,35.35,540.35,2024-12-27
INV000068,CLM000222,drain pump,150.0,2.9,85,246.5,27.76,424.26,2025-01-26
INV000069,CLM017662,control board,230.0,2.3,85,195.5,29.79,455.29,2024-02-22
INV000070,CLM007724,compressor,850.0,1.6,85,136.0,69.02,1055.02,2024-05-16
INV000071,CLM003367,compressor,850.0,3.1,125,387.5,86.63,1324.13,2025-03-16
INV000072,CLM015027,pump,180.0,2.7,85,229.5,28.67,438.17,2024-04-24
INV000073,CLM000218,thermostat,120.0,3.0,125,375.0,34.65,529.65,2024-02-04
INV000074,CLM010045,thermostat,120.0,0.8,95,76.0,13.72,209.72,2024-10-20
INV000075,CLM014881,evaporator coil,420.0,0.5,125,62.5,33.78,516.28,2025-08-01
INV000076,CLM003078,evaporator coil,420.0,1.6,110,176.0,41.72,637.72,2024-06-28
INV000077,CLM018858,belt,25.0,2.7,125,337.5,25.38,387.88,2024-05-20
INV000078,CLM003282,belt,25.0,3.7,125,462.5,34.12,521.62,2024-10-29
INV000079,CLM005426,pump,180.0,1.2,125,150.0,23.1,353.1,2025-04-04
INV000080,CLM017431,blower motor,260.0,1.8,85,153.0,28.91,441.91,2024-05-25
INV000081,CLM008314,blower motor,260.0,2.3,85,195.5,31.89,487.39,2024-10-09
INV000082,CLM011789,pump,180.0,1.6,125,200.0,26.6,406.6,2024-03-24
INV000083,CLM015334,compressor,850.0,2.0,110,220.0,74.9,1144.9,2024-06-16
INV000084,CLM005331,control board,230.0,2.0,110,220.0,31.5,481.5,2025-03-12
INV000085,CLM012358,drain pump,150.0,0.7,125,87.5,16.62,254.12,2025-03-20
INV000086,CLM004909,evaporator coil,420.0,1.4,125,175.0,41.65,636.65,2024-09-16
INV000087,CLM018279,control board,230.0,2.8,85,238.0,32.76,500.76,2025-01-08
INV000088,CLM012935,thermostat,120.0,3.9,110,429.0,38.43,587.43,2025-01-22
INV000089,CLM003866,blower motor,260.0,2.0,125,250.0,35.7,545.7,2024-10-13
INV000090,CLM005562,drain pump,150.0,2.2,125,275.0,29.75,454.75,2024-12-18
INV000091,CLM011596,control board,230.0,0.8,95,76.0,21.42,327.42,2024-05-16
INV000092,CLM018662,compressor,850.0,2.5,110,275.0,78.75,1203.75,2025-04-02
INV000093,CLM000322,control board,230.0,1.2,85,102.0,23.24,355.24,2025-03-28
INV000094,CLM004133,thermostat,120.0,2.8,95,266.0,27.02,413.02,2024-03-06
INV000095,CLM005651,thermostat,120.0,0.9,110,99.0,15.33,234.33,2025-05-26
INV000096,CLM008718,heating element,95.0,2.4,110,264.0,25.13,384.13,2024-10-30
INV000097,CLM008406,drain pump,150.0,3.5,95,332.5,33.78,516.28,2024-07-17
INV000098,CLM003784,blower motor,260.0,1.5,110,165.0,29.75,454.75,2025-05-26
INV000099,CLM004785,drain pump,150.0,2.4,95,228.0,26.46,404.46,2024-09-18
INV000100,CLM017663,drain pump,150.0,3.8,110,418.0,39.76,607.76,2024-10-13
INV000101,CLM008527,belt,25.0,2.9,110,319.0,24.08,368.08,2024-12-25
INV000102,CLM006444,evaporator coil,420.0,3.7,125,462.5,61.78,944.28,2024-06-21
INV000103,CLM001234,evaporator coil,420.0,1.1,95,104.5,36.72,561.22,2025-05-14
INV000104,CLM018842,pump,180.0,3.7,95,351.5,37.21,568.71,2025-05-12
INV000105,CLM017279,thermostat,120.0,3.7,125,462.5,40.78,623.28,2024-08-09
INV000106,CLM018675,drain pump,150.0,3.7,85,314.5,32.52,497.02,2025-01-27
INV000107,CLM013012,blower motor,260.0,2.5,125,312.5,40.08,612.58,2025-03-10
INV000108,CLM008274,belt,25.0,3.5,110,385.0,28.7,438.7,2024-12-16
INV000109,CLM003746,blower motor,260.0,2.8,95,266.0,36.82,562.82,2024-07-26
INV000110,CLM017415,thermostat,120.0,3.7,85,314.5,30.42,464.92,2024-12-05
INV000111,CLM003770,heating element,95.0,1.9,95,180.5,19.29,294.79,2024-08-29
INV000112,CLM007177,thermostat,120.0,2.9,125,362.5,33.78,516.28,2024-02-25
INV000113,CLM003629,drain pump,150.0,1.3,110,143.0,20.51,313.51,2025-03-07
INV000114,CLM003345,blower motor,260.0,3.5,125,437.5,48.83,746.33,2024-09-03
INV000115,CLM015819,pump,180.0,3.2,125,400.0,40.6,620.6,2024-01-24
INV000116,CLM004940,compressor,850.0,2.9,110,319.0,81.83,1250.83,2025-06-28
INV000117,CLM002539,compressor,850.0,3.7,85,314.5,81.52,1246.02,2024-03-01
INV000118,CLM014342,evaporator coil,420.0,2.2,85,187.0,42.49,649.49,2024-02-25
INV000119,CLM012680,thermostat,120.0,3.4,85,289.0,28.63,437.63,2024-02-16
INV000120,CLM006914,control board,230.0,2.9,110,319.0,38.43,587.43,2024-06-13
INV000121,CLM010587,blower motor,260.0,3.9,95,370.5,44.14,674.64,2025-02-05
INV000122,CLM015497,control board,230.0,2.7,95,256.5,34.05,520.55,2024-06-22
INV000123,CLM008948,pump,180.0,0.9,95,85.5,18.59,284.09,2025-04-15
INV000124,CLM007369,blower motor,260.0,0.5,95,47.5,21.53,329.03,2024-09-14
INV000125,CLM006416,compressor,850.0,3.1,85,263.5,77.95,1191.45,2025-07-02
INV000126,CLM001409,evaporator coil,420.0,4.0,85,340.0,53.2,813.2,2025-05-02
INV000127,CLM006642,blower motor,260.0,2.1,125,262.5,36.58,559.08,2025-01-28
INV000128,CLM004489,blower motor,260.0,3.3,110,363.0,43.61,666.61,2025-05-01
INV000129,CLM009759,drain pump,150.0,2.5,110,275.0,29.75,454.75,2024-10-17
INV000130,CLM007137,blower motor,260.0,1.0,110,110.0,25.9,395.9,2025-08-09
INV000131,CLM001611,control board,230.0,2.7,95,256.5,34.05,520.55,2024-10-20
INV000132,CLM012946,heating element,95.0,1.3,125,162.5,18.03,275.53,2024-09-18
INV000133,CLM014556,blower motor,260.0,2.7,125,337.5,41.83,639.33,2024-07-02
INV000134,CLM011520,pump,180.0,1.7,125,212.5,27.48,419.98,2024-03-13
INV000135,CLM015230,drain pump,150.0,2.3,85,195.5,24.19,369.69,2025-03-16
INV000136,CLM019124,drain pump,150.0,1.6,110,176.0,22.82,348.82,2024-11-25
INV000137,CLM001271,control board,230.0,3.4,95,323.0,38.71,591.71,2025-02-01
INV000138,CLM010384,pump,180.0,1.3,95,123.5,21.25,324.75,2024-07-17
INV000139,CLM014895,blower motor,260.0,1.0,125,125.0,26.95,411.95,2025-03-10
INV000140,CLM010127,pump,180.0,1.3,110,143.0,22.61,345.61,2024-07-28
INV000141,CLM014631,evaporator coil,420.0,3.1,95,294.5,50.02,764.52,2024-05-06
INV000142,CLM007332,belt,25.0,1.8,125,225.0,17.5,267.5,2024-03-03
INV000143,CLM004401,pump,180.0,4.0,95,380.0,39.2,599.2,2025-03-14
INV000144,CLM013737,evaporator coil,420.0,3.9,125,487.5,63.53,971.03,2024-08-03
INV000145,CLM008705,compressor,850.0,2.6,95,247.0,76.79,1173.79,2024-04-15
INV000146,CLM007541,blower motor,260.0,2.2,95,209.0,32.83,501.83,2024-08-05
INV000147,CLM010914,blower motor,260.0,0.7,125,87.5,24.33,371.83,2024-02-28
INV000148,CLM015902,evaporator coil,420.0,1.5,125,187.5,42.53,650.03,2024-08-28
INV000149,CLM015073,drain pump,150.0,1.1,95,104.5,17.82,272.32,2024-11-09
INV000150,CLM018919,belt,25.0,2.9,110,319.0,24.08,368.08,2025-07-08
INV000151,CLM019800,drain pump,150.0,1.5,110,165.0,22.05,337.05,2024-12-01
INV000152,CLM018069,pump,180.0,1.6,110,176.0,24.92,380.92,2025-08-18
INV000153,CLM005933,drain pump,150.0,2.6,110,286.0,30.52,466.52,2024-10-16
INV000154,CLM016695,compressor,850.0,1.8,110,198.0,73.36,1121.36,2024-12-18
INV000155,CLM015003,heating element,95.0,0.7,85,59.5,10.82,165.32,2025-06-21
INV000156,CLM004739,blower motor,260.0,1.8,95,171.0,30.17,461.17,2024-03-21
INV000157,CLM007465,control board,230.0,3.4,125,425.0,45.85,700.85,2025-06-05
INV000158,CLM017592,belt,25.0,1.4,125,175.0,14.0,214.0,2024-04-12
INV000159,CLM005507,control board,230.0,3.2,125,400.0,44.1,674.1,2024-11-27
INV000160,CLM006103,evaporator coil,420.0,3.4,85,289.0,49.63,758.63,2024-07-08
INV000161,CLM010905,evaporator coil,420.0,3.7,110,407.0,57.89,884.89,2024-01-14
INV000162,CLM006268,blower motor,260.0,2.7,85,229.5,34.27,523.77,2025-02-19
INV000163,CLM011112,heating element,95.0,3.0,85,255.0,24.5,374.5,2024-08-13
INV000164,CLM016393,pump,180.0,3.2,95,304.0,33.88,517.88,2025-04-23
INV000165,CLM000044,thermostat,120.0,2.3,125,287.5,28.53,436.03,2025-01-02
INV000166,CLM014853,compressor,850.0,2.3,95,218.5,74.8,1143.3,2024-09-19
INV000167,CLM000173,compressor,850.0,3.6,95,342.0,83.44,1275.44,2025-03-13
INV000168,CLM006909,drain pump,150.0,0.6,95,57.0,14.49,221.49,2024-06-27
INV000169,CLM004530,belt,25.0,3.1,125,387.5,28.88,441.38,2025-07-07
INV000170,CLM012910,pump,180.0,1.8,95,171.0,24.57,375.57,2025-02-09
INV000171,CLM002867,pump,180.0,3.5,85,297.5,33.43,510.93,2025-01-18
INV000172,CLM009125,pump,180.0,3.1,110,341.0,36.47,557.47,2024-07-29
INV000173,CLM007224,evaporator coil,420.0,1.9,85,161.5,40.71,622.21,2025-01-01
INV000174,CLM018239,control board,230.0,2.8,110,308.0,37.66,575.66,2024-07-09
INV000175,CLM006314,drain pump,150.0,1.2,85,102.0,17.64,269.64,2024-09-13
INV000176,CLM005649,drain pump,150.0,1.3,95,123.5,19.15,292.65,2025-01-11
INV000177,CLM005780,belt,25.0,3.8,95,361.0,27.02,413.02,2025-05-07
INV000178,CLM015698,evaporator coil,420.0,2.1,125,262.5,47.78,730.28,2024-12-17
INV000179,CLM019791,blower motor,260.0,3.9,125,487.5,52.33,799.83,2024-03-21
INV000180,CLM014087,pump,180.0,3.2,85,272.0,31.64,483.64,2025-03-12
INV000181,CLM003496,blower motor,260.0,3.8,85,323.0,40.81,623.81,2025-01-12
INV000182,CLM014497,thermostat,120.0,2.7,85,229.5,24.47,373.97,2025-08-09
INV000183,CLM015450,blower motor,260.0,3.4,85,289.0,38.43,587.43,2024-12-01
INV000184,CLM014120,control board,230.0,0.8,125,100.0,23.1,353.1,2024-11-19
INV000185,CLM017268,belt,25.0,3.3,95,313.5,23.7,362.2,2025-08-05
INV000186,CLM005791,heating element,95.0,1.5,125,187.5,19.78,302.28,2024-01-25
INV000187,CLM003706,control board,230.0,1.7,125,212.5,30.98,473.48,2024-08-19
INV000188,CLM006470,compressor,850.0,2.8,95,266.0,78.12,1194.12,2024-06-25
INV000189,CLM019949,heating element,95.0,1.2,125,150.0,17.15,262.15,2025-05-30
INV000190,CLM016975,drain pump,150.0,3.7,95,351.5,35.11,536.61,2025-04-06
INV000191,CLM005190,belt,25.0,0.7,110,77.0,7.14,109.14,2025-02-14
INV000192,CLM008324,heating element,95.0,1.0,95,95.0,13.3,203.3,2024-06-21
INV000193,CLM018551,blower motor,260.0,3.1,125,387.5,45.33,692.83,2025-06-03
INV000194,CLM016063,thermostat,120.0,1.1,95,104.5,15.72,240.22,2025-03-14
INV000195,CLM006178,blower motor,260.0,2.6,95,247.0,35.49,542.49,2024-12-25
INV000196,CLM003936,thermostat,120.0,3.1,95,294.5,29.02,443.52,2024-06-06
INV000197,CLM006918,control board,230.0,2.0,95,190.0,29.4,449.4,2024-04-30
INV000198,CLM008150,blower motor,260.0,1.8,85,153.0,28.91,441.91,2025-06-02
INV000199,CLM015906,heating element,95.0,1.4,125,175.0,18.9,288.9,2024-05-19
INV000200,CLM005889,pump,180.0,0.5,125,62.5,16.98,259.48,2025-03-19
INV000201,CLM002237,compressor,850.0,2.4,95,228.0,75.46,1153.46,2024-08-11
INV000202,CLM011899,thermostat,120.0,4.0,125,500.0,43.4,663.4,2024-03-28
INV000203,CLM007324,blower motor,260.0,1.5,125,187.5,31.33,478.83,2024-04-09
INV000204,CLM004577,pump,180.0,1.7,110,187.0,25.69,392.69,2024-10-14
INV000205,CLM019360,thermostat,120.0,2.8,110,308.0,29.96,457.96,2025-03-16
INV000206,CLM008036,evaporator coil,420.0,1.4,85,119.0,37.73,576.73,2024-11-10
INV000207,CLM012682,drain pump,150.0,1.7,85,144.5,20.62,315.12,2025-07-21
INV000208,CLM000353,control board,230.0,3.5,110,385.0,43.05,658.05,2024-05-29
INV000209,CLM004060,blower motor,260.0,3.4,125,425.0,47.95,732.95,2025-08-05
INV000210,CLM018861,heating element,95.0,2.8,125,350.0,31.15,476.15,2024-01-13
INV000211,CLM005486,belt,25.0,1.4,85,119.0,10.08,154.08,2025-04-12
INV000212,CLM000278,drain pump,150.0,1.4,110,154.0,21.28,325.28,2025-04-02
INV000213,CLM009636,blower motor,260.0,0.9,85,76.5,23.56,360.06,2024-03-12
INV000214,CLM006957,compressor,850.0,1.8,125,225.0,75.25,1150.25,2025-05-10
INV000215,CLM010991,heating element,95.0,0.6,125,75.0,11.9,181.9,2024-09-13
INV000216,CLM003030,compressor,850.0,3.4,110,374.0,85.68,1309.68,2024-11-12
INV000217,CLM004005,heating element,95.0,3.7,85,314.5,28.67,438.17,2025-05-18
INV000218,CLM007197,heating element,95.0,0.8,85,68.0,11.41,174.41,2024-01-13
INV000219,CLM001560,heating element,95.0,1.0,95,95.0,13.3,203.3,2025-07-11
INV000220,CLM013812,heating element,95.0,3.5,125,437.5,37.28,569.78,2024-11-20
INV000221,CLM000726,blower motor,260.0,2.5,85,212.5,33.08,505.58,2024-12-02
INV000222,CLM008943,drain pump,150.0,2.7,110,297.0,31.29,478.29,2024-11-26
INV000223,CLM014263,control board,230.0,3.9,125,487.5,50.23,767.73,2024-10-08
INV000224,CLM008274,evaporator coil,420.0,2.0,85,170.0,41.3,631.3,2024-12-17
INV000225,CLM002453,thermostat,120.0,0.9,110,99.0,15.33,234.33,2025-01-17
INV000226,CLM007637,pump,180.0,2.9,85,246.5,29.86,456.36,2024-04-04
INV000227,CLM004263,control board,230.0,2.2,125,275.0,35.35,540.35,2024-07-30
INV000228,CLM002410,belt,25.0,3.2,110,352.0,26.39,403.39,2024-07-15
INV000229,CLM017411,belt,25.0,0.7,85,59.5,5.92,90.42,2025-07-13
INV000230,CLM011290,heating element,95.0,1.1,125,137.5,16.28,248.78,2024-01-28
INV000231,CLM002092,evaporator coil,420.0,3.0,85,255.0,47.25,722.25,2024-02-18
INV000232,CLM016081,compressor,850.0,1.4,95,133.0,68.81,1051.81,2024-05-29
INV000233,CLM019402,compressor,850.0,1.8,125,225.0,75.25,1150.25,2024-06-21
INV000234,CLM001444,heating element,95.0,3.2,125,400.0,34.65,529.65,2024-07-04
INV000235,CLM018602,evaporator coil,420.0,3.0,85,255.0,47.25,722.25,2025-06-22
INV000236,CLM013289,blower motor,260.0,1.8,110,198.0,32.06,490.06,2025-05-22
INV000237,CLM001439,belt,25.0,3.1,95,294.5,22.37,341.87,2024-05-21
INV000238,CLM005454,compressor,850.0,4.0,95,380.0,86.1,1316.1,2024-01-09
INV000239,CLM002971,blower motor,260.0,1.4,95,133.0,27.51,420.51,2024-03-25
INV000240,CLM017303,compressor,850.0,2.4,125,300.0,80.5,1230.5,2025-03-12
INV000241,CLM001502,belt,25.0,3.1,125,387.5,28.88,441.38,2025-06-08
INV000242,CLM017397,drain pump,150.0,1.3,85,110.5,18.24,278.74,2024-11-04
INV000243,CLM013301,compressor,850.0,2.7,85,229.5,75.57,1155.07,2024-05-23
INV000244,CLM012423,evaporator coil,420.0,3.5,110,385.0,56.35,861.35,2024-04-25
INV000245,CLM001859,evaporator coil,420.0,2.4,125,300.0,50.4,770.4,2025-07-04
INV000246,CLM006491,thermostat,120.0,3.3,95,313.5,30.35,463.85,2025-06-04
INV000247,CLM003689,compressor,850.0,1.7,110,187.0,72.59,1109.59,2024-12-23
INV000248,CLM009214,heating element,95.0,3.3,125,412.5,35.53,543.03,2024-07-15
INV000249,CLM017170,blower motor,260.0,2.6,125,325.0,40.95,625.95,2024-12-13
INV000250,CLM014301,belt,25.0,2.1,110,231.0,17.92,273.92,2024-05-12
INV000251,CLM009499,drain pump,150.0,3.3,125,412.5,39.38,601.88,2024-05-08
INV000252,CLM005944,evaporator coil,420.0,0.8,110,88.0,35.56,543.56,2025-06-17
INV000253,CLM001897,blower motor,260.0,3.4,95,323.0,40.81,623.81,2025-05-27
INV000254,CLM013226,pump,180.0,2.8,85,238.0,29.26,447.26,2025-06-22
INV000255,CLM005375,evaporator coil,420.0,2.8,95,266.0,48.02,734.02,2025-01-27
INV000256,CLM007922,belt,25.0,0.5,110,55.0,5.6,85.6,2024-11-28
INV000257,CLM013722,belt,25.0,1.8,95,171.0,13.72,209.72,2024-03-25
INV000258,CLM009275,compressor,850.0,2.8,95,266.0,78.12,1194.12,2025-07-03
INV000259,CLM012955,thermostat,120.0,3.6,85,306.0,29.82,455.82,2024-02-21
INV000260,CLM018458,pump,180.0,0.5,125,62.5,16.98,259.48,2024-01-16
INV000261,CLM014801,evaporator coil,420.0,1.9,95,180.5,42.04,642.54,2024-11-29
INV000262,CLM011664,control board,230.0,2.0,85,170.0,28.0,428.0,2025-06-12
INV000263,CLM010508,control board,230.0,2.0,85,170.0,28.0,428.0,2025-07-22
INV000264,CLM016638,control board,230.0,1.2,125,150.0,26.6,406.6,2024-08-10
INV000265,CLM001537,evaporator coil,420.0,3.5,85,297.5,50.23,767.73,2024-12-22
INV000266,CLM004146,thermostat,120.0,3.3,110,363.0,33.81,516.81,2025-04-07
INV000267,CLM016326,pump,180.0,0.6,85,51.0,16.17,247.17,2024-08-11
INV000268,CLM001877,belt,25.0,0.7,110,77.0,7.14,109.14,2025-07-10
INV000269,CLM008977,blower motor,260.0,3.4,110,374.0,44.38,678.38,2025-05-21
INV000270,CLM005265,control board,230.0,2.0,95,190.0,29.4,449.4,2024-04-07
INV000271,CLM014883,heating element,95.0,0.7,95,66.5,11.31,172.81,2025-06-04
INV000272,CLM017685,belt,25.0,1.3,95,123.5,10.4,158.9,2024-12-22
INV000273,CLM007394,belt,25.0,2.9,85,246.5,19.01,290.51,2025-01-17
INV000274,CLM010077,control board,230.0,2.7,125,337.5,39.73,607.23,2024-05-08
INV000275,CLM002064,blower motor,260.0,0.7,85,59.5,22.37,341.87,2024-12-15
INV000276,CLM017748,control board,230.0,1.4,110,154.0,26.88,410.88,2024-03-14
INV000277,CLM001833,thermostat,120.0,1.2,125,150.0,18.9,288.9,2024-03-13
INV000278,CLM005505,belt,25.0,3.6,125,450.0,33.25,508.25,2025-03-06
INV000279,CLM013420,drain pump,150.0,3.9,85,331.5,33.71,515.21,2024-05-04
INV000280,CLM015272,evaporator coil,420.0,0.9,95,85.5,35.39,540.89,2024-01-14
INV000281,CLM004436,thermostat,120.0,0.5,95,47.5,11.73,179.23,2025-05-31
INV000282,CLM015387,thermostat,120.0,2.2,95,209.0,23.03,352.03,2024-07-21
INV000283,CLM012964,thermostat,120.0,2.3,110,253.0,26.11,399.11,2024-10-11
INV000284,CLM005891,pump,180.0,0.5,95,47.5,15.93,243.43,2024-06-12
INV000285,CLM005515,control board,230.0,2.8,110,308.0,37.66,575.66,2025-05-31
INV000286,CLM017824,belt,25.0,0.7,95,66.5,6.41,97.91,2025-05-17
INV000287,CLM005139,pump,180.0,3.1,85,263.5,31.05,474.55,2025-03-23
INV000288,CLM001844,control board,230.0,4.0,85,340.0,39.9,609.9,2024-04-14
INV000289,CLM007391,blower motor,260.0,3.9,85,331.5,41.41,632.91,2025-01-14
INV000290,CLM007556,evaporator coil,420.0,1.8,125,225.0,45.15,690.15,2025-02-09
INV000291,CLM012419,compressor,850.0,3.6,95,342.0,83.44,1275.44,2024-11-01
INV000292,CLM013629,pump,180.0,1.5,95,142.5,22.58,345.08,2025-03-14
INV000293,CLM001695,heating element,95.0,1.4,110,154.0,17.43,266.43,2025-06-18
INV000294,CLM010535,drain pump,150.0,2.3,125,287.5,30.63,468.13,2025-02-01
INV000295,CLM016523,drain pump,150.0,4.0,110,440.0,41.3,631.3,2025-07-13
INV000296,CLM018710,compressor,850.0,3.7,95,351.5,84.11,1285.61,2025-06-27
INV000297,CLM019108,heating element,95.0,1.7,110,187.0,19.74,301.74,2025-04-18
INV000298,CLM007233,pump,180.0,3.2,125,400.0,40.6,620.6,2024-08-23
INV000299,CLM002869,control board,230.0,3.3,85,280.5,35.74,546.24,2024-10-17
INV000300,CLM012490,blower motor,260.0,0.5,125,62.5,22.58,345.08,2024-08-03
INV000301,CLM011582,thermostat,120.0,3.0,85,255.0,26.25,401.25,2024-08-15
INV000302,CLM009115,pump,180.0,0.8,125,100.0,19.6,299.6,2024-08-30
INV000303,CLM018484,blower motor,260.0,3.8,125,475.0,51.45,786.45,2025-05-21
INV000304,CLM005102,evaporator coil,420.0,0.7,110,77.0,34.79,531.79,2024-02-21
INV000305,CLM007378,belt,25.0,2.7,110,297.0,22.54,344.54,2025-01-11
INV000306,CLM003596,pump,180.0,3.7,110,407.0,41.09,628.09,2024-07-02
INV000307,CLM004888,evaporator coil,420.0,2.0,110,220.0,44.8,684.8,2024-01-23
INV000308,CLM014730,belt,25.0,0.9,85,76.5,7.11,108.61,2024-01-11
INV000309,CLM004334,blower motor,260.0,1.2,125,150.0,28.7,438.7,2024-06-19
INV000310,CLM008343,compressor,850.0,0.8,95,76.0,64.82,990.82,2025-02-27
INV000311,CLM010730,evaporator coil,420.0,3.9,110,429.0,59.43,908.43,2024-09-23
INV000312,CLM013610,pump,180.0,0.6,110,66.0,17.22,263.22,2024-01-10
INV000313,CLM013872,evaporator coil,420.0,3.8,85,323.0,52.01,795.01,2024-10-09
