claim_id,customer_id,plan,state,appliance,issue,created_date,status,decision,payout,reason_code
CLM000048,C00699,Platinum,GA,Microwave,no power,2024-07-25,denied,partial,1082.9,
CLM000049,C00611,Platinum,MI,Electrical Panel,breaker trips,2024-04-10,approved,denied,0.0,COVERED_MECH
CLM000050,C01580,Gold,SD,Washer,drain pump failure,2024-02-01,approved,partial,1689.55,
CLM000051,C01198,Platinum,TX,Dishwasher,spray arm broken,2025-04-06,submitted,,0.0,
CLM000052,C01815,Silver,LA,Dishwasher,won't start,2024-03-13,denied,covered,795.32,
CLM000053,C01561,Gold,TN,Dryer,drum won't turn,2024-04-20,submitted,,0.0,
CLM000054,C00401,Platinum,ID,Microwave,no power,2024-11-03,approved,partial,2433.86,
CLM000055,C00326,Platinum,ND,Dryer,drum won't turn,2024-04-06,in_review,,0.0,
CLM000056,C01128,Gold,SC,Washer,belt snapped,2024-09-03,submitted,,0.0,
CLM000057,C01159,Platinum,WV,Washer,drain pump failure,2024-07-03,approved,denied,0.0,COVERED_MECH
CLM000058,C01730,Gold,MN,Electrical Panel,burn smell,2024-04-20,in_review,,0.0,
CLM000059,C00296,Gold,GA,Water Heater,leak,2024-12-17,closed,covered,643.74,
CLM000060,C00121,Platinum,NC,Washer,won't spin,2024-06-02,in_review,,0.0,
CLM000061,C01764,Platinum,AZ,Microwave,no power,2025-05-26,approved,denied,0.0,COVERED_MECH
CLM000062,C00714,Platinum,ID,Electrical Panel,loose neutral,2024-06-08,closed,covered,2605.6,
CLM000063,C00389,Silver,VA,Dryer,drum won't turn,2024-12-19,denied,denied,0.0,EXCLUDED_PREEXIST
CLM000064,C01521,Platinum,OR,Microwave,magnetron fault,2024-08-08,approved,covered,4259.75,
CLM000065,C01684,Gold,TX,Dishwasher,leak,2024-03-28,submitted,,0.0,
CLM000066,C00438,Silver,OK,Microwave,magnetron fault,2024-05-13,closed,covered,187.43,
CLM000067,C00346,Silver,WY,Washer,drain pump failure,2024-12-24,submitted,,0.0,
CLM000068,C01198,Platinum,TX,Washer,drain pump failure,2024-01-09,submitted,,0.0,
CLM000069,C01281,Silver,NV,Microwave,no power,2025-01-04,in_review,,0.0,
CLM000070,C00071,Silver,TX,HVAC,no cooling,2024-05-02,in_review,,0.0,
CLM000071,C00148,Platinum,KS,Plumbing,low pressure,2024-06-28,in_review,,0.0,
CLM000072,C01488,Gold,OH,Water Heater,no hot water,2024-10-28,approved,partial,325.77,
CLM000073,C01503,Platinum,NM,Washer,belt snapped,2025-06-26,in_review,,0.0,
CLM000074,C01891,Gold,MA,Water Heater,pilot won't stay lit,2024-07-25,approved,denied,0.0,COVERED_MECH
CLM000075,C00544,Platinum,KS,Plumbing,leak under sink,2024-01-16,in_review,,0.0,
CLM000076,C01752,Gold,NV,Water Heater,leak,2024-07-10,approved,partial,1456.89,
CLM000077,C00882,Platinum,RI,Plumbing,clogged drain,2025-03-10,submitted,,0.0,
CLM000078,C00277,Silver,IN,Microwave,turntable stuck,2024-02-28,approved,partial,1143.73,
CLM000079,C01260,Gold,PA,Washer,belt snapped,2025-02-23,denied,denied,0.0,EXCLUDED_PREEXIST
CLM000080,C00732,Platinum,NM,Dryer,drum won't turn,2024-01-19,closed,partial,1955.65,
CLM000081,C01478,Silver,WV,HVAC,compressor failure,2024-05-17,approved,partial,789.88,
CLM000082,C01984,Gold,TX,Water Heater,leak,2025-02-05,approved,partial,259.28,
CLM000083,C01806,Platinum,KS,Microwave,turntable stuck,2024-03-12,approved,denied,0.0,INFO_MISSING
CLM000084,C01197,Gold,AZ,Electrical Panel,burn smell,2024-10-10,submitted,,0.0,
CLM000085,C00055,Gold,SC,Dryer,thermal fuse blown,2024-10-17,approved,denied,0.0,EXCLUDED_INSTALL
CLM000086,C01027,Gold,MN,Water Heater,leak,2025-02-24,in_review,,0.0,
CLM000087,C00497,Silver,NY,Refrigerator,not cooling,2024-01-22,closed,denied,0.0,COVERED_MECH
CLM000088,C01406,Platinum,NJ,Plumbing,clogged drain,2025-05-17,in_review,,0.0,
CLM000089,C01670,Platinum,OR,HVAC,thermostat error,2024-09-12,submitted,,0.0,
CLM000090,C00158,Silver,KS,Refrigerator,not cooling,2025-04-30,closed,partial,237.05,
CLM000091,C00493,Platinum,AK,HVAC,compressor failure,2024-05-30,denied,partial,1159.59,
CLM000092,C00957,Platinum,FL,Washer,won't spin,2024-12-12,submitted,,0.0,
CLM000093,C01137,Gold,MN,Washer,drain pump failure,2024-09-20,in_review,,0.0,
CLM000094,C00438,Silver,OK,Microwave,magnetron fault,2025-04-22,submitted,,0.0,
CLM000095,C01928,Platinum,NC,HVAC,thermostat error,2025-07-09,approved,denied,0.0,COVERED_MECH
CLM000096,C00867,Silver,AL,Microwave,no power,2024-05-26,denied,covered,1284.39,
CLM000097,C01131,Gold,WI,HVAC,refrigerant leak,2024-09-24,closed,covered,1460.75,
CLM000098,C00834,Platinum,CT,Dishwasher,drain issue,2024-05-03,closed,partial,4589.04,
CLM000099,C01921,Gold,MS,Washer,belt snapped,2024-10-14,approved,covered,2345.79,
CLM000100,C01805,Gold,VA,Refrigerator,not cooling,2024-04-06,approved,covered,555.02,
CLM000101,C00640,Silver,TX,Plumbing,low pressure,2025-05-06,denied,denied,0.0,INFO_MISSING
CLM000102,C00180,Platinum,SC,Electrical Panel,burn smell,2024-05-03,denied,partial,2870.23,
CLM000103,C01015,Silver,NC,HVAC,no cooling,2025-07-08,in_review,,0.0,
CLM000104,C00153,Gold,WY,Water Heater,leak,2024-08-15,submitted,,0.0,
CLM000105,C01651,Gold,MA,Electrical Panel,burn smell,2025-08-05,approved,denied,0.0,INFO_MISSING
CLM000106,C00839,Platinum,AZ,Microwave,magnetron fault,2024-05-15,approved,denied,0.0,EXCLUDED_INSTALL
CLM000107,C00823,Silver,MD,Microwave,turntable stuck,2024-07-12,in_review,,0.0,
CLM000108,C01778,Silver,MD,Refrigerator,control board fault,2024-08-06,submitted,,0.0,
CLM000109,C00110,Platinum,WV,Washer,belt snapped,2025-01-21,in_review,,0.0,
CLM000110,C00248,Platinum,IA,Water Heater,leak,2025-04-14,approved,partial,1484.79,
CLM000111,C00440,Platinum,OH,Microwave,turntable stuck,2024-05-22,closed,denied,0.0,COVERED_MECH
CLM000112,C01541,Platinum,AR,Dishwasher,drain issue,2025-02-22,in_review,,0.0,
CLM000113,C00757,Gold,WY,HVAC,refrigerant leak,2024-08-19,in_review,,0.0,
CLM000114,C01574,Silver,WA,Plumbing,low pressure,2025-08-04,submitted,,0.0,
CLM000115,C01447,Gold,NY,Washer,won't spin,2024-11-22,approved,covered,1851.58,
CLM000116,C00177,Gold,HI,Dryer,thermal fuse blown,2025-03-20,in_review,,0.0,
CLM000117,C00754,Platinum,VT,Electrical Panel,loose neutral,2025-03-26,denied,covered,3547.57,
CLM000118,C01126,Silver,KS,Electrical Panel,loose neutral,2025-01-02,approved,denied,0.0,LIMIT_EXCEEDED
CLM000119,C01448,Gold,HI,Plumbing,leak under sink,2025-05-03,approved,denied,0.0,INFO_MISSING
CLM000120,C00837,Gold,AZ,Plumbing,leak under sink,2025-04-22,approved,denied,0.0,COVERED_MECH
CLM000121,C00818,Platinum,MO,Washer,drain pump failure,2025-01-23,in_review,,0.0,
CLM000122,C01689,Silver,VA,Washer,drain pump failure,2025-03-30,approved,covered,833.55,
CLM000123,C00335,Silver,AR,Refrigerator,not cooling,2024-06-24,in_review,,0.0,
CLM000124,C01423,Gold,ME,Washer,belt snapped,2024-06-25,submitted,,0.0,
CLM000125,C00952,Platinum,GA,Refrigerator,not cooling,2024-02-05,in_review,,0.0,
CLM000126,C01249,Gold,CO,Water Heater,pilot won't stay lit,2025-06-11,approved,partial,2255.29,
CLM000127,C01165,Silver,HI,Washer,drain pump failure,2024-08-29,submitted,,0.0,
CLM000128,C00529,Platinum,VT,Dishwasher,won't start,2025-08-03,submitted,,0.0,
CLM000129,C01946,Silver,ND,Electrical Panel,burn smell,2025-01-27,submitted,,0.0,
CLM000130,C01467,Silver,NV,Dryer,no heat,2024-02-02,approved,partial,1485.38,
CLM000131,C01024,Platinum,CT,Dishwasher,spray arm broken,2024-09-14,approved,denied,0.0,LIMIT_EXCEEDED
CLM000132,C00928,Gold,VT,Refrigerator,ice maker failure,2024-01-06,denied,denied,0.0,COVERED_MECH
CLM000133,C01977,Gold,SC,Electrical Panel,breaker trips,2024-12-25,closed,covered,1204.33,
CLM000134,C00634,Gold,TX,Water Heater,no hot water,2024-02-02,submitted,,0.0,
CLM000135,C01358,Platinum,DE,Plumbing,clogged drain,2025-07-12,approved,partial,1232.72,
CLM000136,C01090,Platinum,VT,Dishwasher,drain issue,2024-09-20,approved,partial,3816.29,
CLM000137,C01420,Silver,LA,Water Heater,leak,2024-01-30,approved,partial,403.55,
CLM000138,C00501,Platinum,MO,Electrical Panel,loose neutral,2024-05-11,approved,partial,1001.65,
CLM000139,C00737,Gold,IL,Refrigerator,ice maker failure,2025-04-27,denied,denied,0.0,INFO_MISSING
CLM000140,C01836,Silver,PA,Electrical Panel,loose neutral,2024-11-23,approved,partial,1183.44,
CLM000141,C00767,Silver,NJ,Dishwasher,spray arm broken,2025-04-03,approved,covered,1167.76,
CLM000142,C01428,Silver,VT,Water Heater,pilot won't stay lit,2024-07-30,closed,denied,0.0,INFO_MISSING
CLM000143,C00636,Gold,RI,HVAC,refrigerant leak,2025-01-09,submitted,,0.0,
CLM000144,C01446,Platinum,AR,Washer,won't spin,2024-02-26,approved,partial,1493.66,
CLM000145,C00939,Silver,OH,Dryer,drum won't turn,2024-04-05,approved,partial,613.12,
CLM000146,C01451,Gold,CO,Water Heater,pilot won't stay lit,2025-02-09,approved,partial,2073.88,
CLM000147,C00850,Gold,OR,HVAC,refrigerant leak,2024-06-22,in_review,,0.0,
CLM000148,C01460,Gold,NC,Water Heater,no hot water,2025-03-13,submitted,,0.0,
CLM000149,C01068,Gold,NE,Dishwasher,spray arm broken,2024-11-14,submitted,,0.0,
CLM000150,C00945,Platinum,HI,Refrigerator,ice maker failure,2024-04-05,closed,covered,415.05,
CLM000151,C00626,Silver,DE,HVAC,no cooling,2024-06-20,approved,partial,496.2,
CLM000152,C00606,Platinum,PA,HVAC,compressor failure,2024-02-17,approved,partial,3022.5,
CLM000153,C00472,Silver,CO,Dryer,thermal fuse blown,2024-01-31,approved,partial,337.41,
CLM000154,C01792,Gold,KS,Refrigerator,ice maker failure,2024-12-20,approved,denied,0.0,EXCLUDED_INSTALL
CLM000155,C01381,Gold,CO,Dishwasher,won't start,2024-12-27,approved,denied,0.0,COVERED_MECH
CLM000156,C01467,Silver,NV,Plumbing,clogged drain,2024-11-15,denied,covered,1303.69,
CLM000157,C01375,Silver,AL,Plumbing,clogged drain,2025-07-27,approved,denied,0.0,INFO_MISSING
CLM000158,C01042,Platinum,NE,Dishwasher,won't start,2024-05-15,approved,covered,2377.19,
CLM000159,C01008,Silver,IN,Microwave,no power,2025-02-24,submitted,,0.0,
CLM000160,C01481,Gold,TN,Electrical Panel,burn smell,2025-07-31,denied,denied,0.0,EXCLUDED_INSTALL
CLM000161,C00701,Gold,NC,Water Heater,leak,2024-04-26,closed,covered,1644.55,
CLM000162,C01132,Gold,SD,Plumbing,leak under sink,2024-08-15,closed,denied,0.0,COVERED_MECH
CLM000163,C00803,Silver,IL,Electrical Panel,burn smell,2025-05-09,closed,covered,335.74,
CLM000164,C00380,Platinum,LA,HVAC,no cooling,2024-08-22,approved,denied,0.0,EXCLUDED_INSTALL
CLM000165,C01216,Platinum,GA,Dryer,no heat,2024-10-06,submitted,,0.0,
CLM000166,C00199,Silver,HI,Dryer,no heat,2024-03-22,approved,denied,0.0,EXCLUDED_INSTALL
CLM000167,C01007,Silver,MI,Plumbing,low pressure,2024-12-27,submitted,,0.0,
CLM000168,C01836,Silver,PA,Electrical Panel,burn smell,2025-03-18,approved,partial,1003.86,
CLM000169,C00272,Silver,MD,Water Heater,no hot water,2024-01-07,denied,partial,334.1,
CLM000170,C00665,Silver,OK,Washer,drain pump failure,2025-04-17,closed,covered,1294.69,
CLM000171,C01392,Gold,VA,Dryer,drum won't turn,2025-01-18,in_review,,0.0,
CLM000172,C00357,Platinum,VT,Plumbing,low pressure,2024-07-13,approved,covered,395.27,
CLM000173,C01723,Gold,CT,Water Heater,pilot won't stay lit,2025-03-07,in_review,,0.0,
CLM000174,C01288,Silver,OR,Refrigerator,not cooling,2025-05-04,closed,partial,757.21,
CLM000175,C01857,Gold,HI,Microwave,no power,2025-04-07,in_review,,0.0,
CLM000176,C01185,Gold,KY,Washer,won't spin,2025-01-21,denied,covered,558.32,
CLM000177,C00833,Platinum,WA,Microwave,magnetron fault,2024-12-20,in_review,,0.0,
CLM000178,C01628,Gold,ME,Plumbing,low pressure,2024-07-14,in_review,,0.0,
CLM000179,C00393,Platinum,MA,Water Heater,leak,2025-06-11,approved,partial,4097.97,
CLM000180,C00740,Platinum,IL,Dryer,drum won't turn,2025-02-22,closed,denied,0.0,EXCLUDED_INSTALL
CLM000181,C01579,Gold,NE,Microwave,turntable stuck,2024-05-13,submitted,,0.0,
CLM000182,C00545,Gold,AZ,Dryer,thermal fuse blown,2024-04-26,in_review,,0.0,
CLM000183,C00794,Gold,IL,Water Heater,pilot won't stay lit,2024-01-10,closed,partial,1567.78,
CLM000184,C01403,Silver,TN,Refrigerator,not cooling,2025-02-13,approved,denied,0.0,INFO_MISSING
CLM000185,C00651,Platinum,SC,Refrigerator,ice maker failure,2024-08-30,closed,covered,1025.89,
CLM000186,C00227,Silver,WY,Dryer,no heat,2024-11-23,closed,covered,761.99,
CLM000187,C00291,Silver,AZ,Water Heater,pilot won't stay lit,2025-06-23,approved,partial,1379.91,
CLM000188,C00855,Platinum,OK,Microwave,magnetron fault,2024-07-26,approved,partial,584.07,
CLM000189,C00109,Platinum,NM,Dishwasher,drain issue,2024-12-05,closed,partial,199.3,
CLM000190,C01818,Platinum,MS,Dryer,no heat,2024-05-01,in_review,,0.0,
CLM000191,C01389,Gold,NM,Microwave,magnetron fault,2024-04-29,closed,covered,1338.76,
CLM000192,C00909,Gold,ND,HVAC,thermostat error,2024-11-29,approved,covered,1557.22,
CLM000193,C01052,Platinum,MA,HVAC,compressor failure,2024-02-13,in_review,,0.0,
CLM000194,C01859,Platinum,HI,Microwave,no power,2024-06-20,closed,denied,0.0,EXCLUDED_INSTALL
CLM000195,C01970,Silver,OK,Electrical Panel,breaker trips,2025-03-06,closed,covered,391.27,
CLM000196,C00632,Gold,FL,HVAC,compressor failure,2024-05-11,closed,denied,0.0,EXCLUDED_INSTALL
CLM000197,C00156,Silver,NJ,Microwave,turntable stuck,2024-02-08,approved,denied,0.0,INFO_MISSING
CLM000198,C01207,Silver,MD,Water Heater,pilot won't stay lit,2024-11-01,closed,covered,1348.03,
CLM000199,C01027,Gold,MN,Water Heater,no hot water,2024-10-16,approved,denied,0.0,INFO_MISSING
CLM000200,C01892,Gold,IN,Electrical Panel,burn smell,2024-08-21,submitted,,0.0,
CLM000201,C00581,Platinum,PA,Refrigerator,control board fault,2024-09-02,in_review,,0.0,
CLM000202,C00201,Gold,PA,Electrical Panel,breaker trips,2024-04-25,denied,partial,553.02,
CLM000203,C01297,Silver,VA,HVAC,thermostat error,2025-02-02,approved,covered,1227.55,
CLM000204,C00224,Silver,VT,HVAC,thermostat error,2025-01-22,closed,partial,1115.63,
CLM000205,C01637,Gold,CO,Dishwasher,leak,2024-03-22,closed,covered,531.79,
CLM000206,C00771,Gold,HI,Plumbing,leak under sink,2024-02-02,submitted,,0.0,
CLM000207,C01010,Gold,IN,Washer,won't spin,2024-06-05,closed,denied,0.0,COVERED_MECH
CLM000208,C01465,Gold,ND,Plumbing,low pressure,2025-07-24,submitted,,0.0,
CLM000209,C01440,Gold,MO,Electrical Panel,burn smell,2025-08-10,in_review,,0.0,
CLM000210,C01572,Gold,NV,Washer,won't spin,2024-11-04,closed,partial,689.61,
CLM000211,C00130,Platinum,AL,Electrical Panel,burn smell,2024-05-11,approved,covered,4954.33,
CLM000212,C00333,Silver,NM,Water Heater,leak,2024-05-14,approved,partial,1431.38,
CLM000213,C00357,Platinum,VT,Electrical Panel,loose neutral,2024-11-11,denied,covered,4593.62,
CLM000214,C01452,Platinum,AL,Microwave,magnetron fault,2024-01-10,denied,partial,2645.16,
CLM000215,C00692,Silver,NY,HVAC,compressor failure,2024-08-28,submitted,,0.0,
CLM000216,C00805,Gold,NE,Dishwasher,won't start,2024-06-28,closed,covered,733.17,
CLM000217,C01677,Gold,MO,Microwave,no power,2024-07-22,approved,denied,0.0,EXCLUDED_PREEXIST
CLM000218,C00337,Platinum,OH,Electrical Panel,loose neutral,2024-02-04,approved,covered,3397.25,
CLM000219,C01963,Silver,MA,Washer,drain pump failure,2025-07-29,approved,denied,0.0,EXCLUDED_PREEXIST
CLM000220,C00767,Silver,NJ,Dryer,no heat,2024-03-29,approved,covered,1244.85,
CLM000221,C01587,Silver,AK,HVAC,no cooling,2024-07-01,approved,covered,654.36,
CLM000222,C00677,Silver,MO,Water Heater,leak,2025-01-18,in_review,,0.0,
CLM000223,C01908,Platinum,MA,Refrigerator,control board fault,2025-03-22,in_review,,0.0,
CLM000224,C00262,Gold,AZ,Water Heater,pilot won't stay lit,2024-05-10,denied,partial,964.81,
CLM000225,C00898,Silver,NY,Dryer,drum won't turn,2024-05-10,closed,covered,684.63,
CLM000226,C01828,Silver,UT,HVAC,refrigerant leak,2024-05-14,approved,denied,0.0,LIMIT_EXCEEDED
CLM000227,C01615,Platinum,AZ,Electrical Panel,breaker trips,2024-10-23,denied,denied,0.0,INFO_MISSING
CLM000228,C00234,Gold,NY,Washer,drain pump failure,2025-01-25,closed,covered,700.49,
CLM000229,C00765,Platinum,NE,Dryer,no heat,2024-02-19,closed,covered,327.51,
CLM000230,C00942,Silver,OK,Dryer,no heat,2025-07-09,denied,covered,837.11,
CLM000231,C00018,Gold,NV,Water Heater,pilot won't stay lit,2025-07-15,approved,covered,1043.53,
CLM000232,C00846,Silver,SD,HVAC,refrigerant leak,2024-06-05,in_review,,0.0,
CLM000233,C01187,Gold,NC,Refrigerator,not cooling,2024-06-23,denied,partial,1388.05,
CLM000234,C01815,Silver,LA,HVAC,thermostat error,2024-06-04,approved,partial,1223.64,
CLM000235,C00160,Gold,NV,Plumbing,leak under sink,2025-02-25,approved,denied,0.0,INFO_MISSING
CLM000236,C01826,Gold,NY,Plumbing,clogged drain,2024-11-27,denied,covered,2451.07,
CLM000237,C00216,Silver,NH,Dryer,thermal fuse blown,2024-01-17,closed,denied,0.0,INFO_MISSING
CLM000238,C00384,Gold,MI,Washer,belt snapped,2025-03-03,in_review,,0.0,
CLM000239,C01893,Gold,MA,Microwave,magnetron fault,2024-12-26,denied,partial,1556.51,
CLM000240,C01198,Platinum,TX,Plumbing,leak under sink,2024-09-02,closed,denied,0.0,EXCLUDED_INSTALL
CLM000241,C00678,Gold,DE,Water Heater,leak,2024-09-22,approved,covered,463.33,
CLM000242,C00257,Platinum,ID,Dishwasher,drain issue,2024-11-07,submitted,,0.0,
CLM000243,C01062,Silver,AR,Microwave,magnetron fault,2025-07-25,in_review,,0.0,
CLM000244,C01486,Gold,NV,Dryer,drum won't turn,2024-01-03,approved,denied,0.0,LIMIT_EXCEEDED
CLM000245,C01040,Gold,CA,Dishwasher,won't start,2024-04-24,approved,covered,1338.09,
CLM000246,C01345,Silver,CO,Refrigerator,not cooling,2024-01-23,closed,partial,517.09,
CLM000247,C00234,Gold,NY,Dryer,no heat,2024-10-04,approved,partial,773.21,
CLM000248,C00637,Platinum,WV,Washer,drain pump failure,2024-08-30,submitted,,0.0,
CLM000249,C00197,Silver,VA,Electrical Panel,breaker trips,2024-04-13,in_review,,0.0,
CLM000250,C00196,Silver,MS,Plumbing,leak under sink,2025-02-27,closed,partial,737.61,
CLM000251,C00053,Silver,LA,Washer,belt snapped,2024-03-23,approved,partial,1027.68,
CLM000252,C01264,Platinum,KY,Washer,won't spin,2025-03-05,denied,covered,532.82,
CLM000253,C01830,Platinum,AZ,Microwave,turntable stuck,2025-02-08,approved,partial,1355.73,
CLM000254,C00917,Gold,OK,Microwave,magnetron fault,2024-04-25,closed,covered,159.11,
CLM000255,C01509,Silver,KS,Dishwasher,leak,2025-04-30,closed,covered,817.79,
CLM000256,C01018,Platinum,SC,HVAC,compressor failure,2025-02-21,closed,covered,826.05,
CLM000257,C01796,Silver,VA,Microwave,turntable stuck,2025-03-11,approved,denied,0.0,INFO_MISSING
CLM000258,C01543,Silver,IA,Microwave,turntable stuck,2025-04-23,submitted,,0.0,
CLM000259,C01544,Silver,MS,HVAC,thermostat error,2025-02-21,submitted,,0.0,
CLM000260,C01993,Gold,MO,Washer,won't spin,2025-08-09,approved,partial,1303.07,
CLM000261,C01328,Gold,LA,Plumbing,leak under sink,2024-12-16,approved,partial,187.83,
CLM000262,C01636,Platinum,AR,Dishwasher,leak,2025-03-24,approved,partial,4991.9,
CLM000263,C00033,Gold,OR,Electrical Panel,burn smell,2025-03-19,approved,denied,0.0,INFO_MISSING
CLM000264,C00975,Platinum,AK,Washer,won't spin,2024-05-29,closed,partial,4121.87,
CLM000265,C01925,Gold,AR,Dryer,thermal fuse blown,2025-06-18,denied,covered,1720.65,
CLM000266,C00044,Gold,CT,HVAC,refrigerant leak,2024-09-29,closed,covered,789.86,
CLM000267,C00048,Silver,NM,Water Heater,no hot water,2025-04-26,approved,denied,0.0,LIMIT_EXCEEDED
CLM000268,C00406,Platinum,MO,HVAC,refrigerant leak,2024-04-02,denied,denied,0.0,INFO_MISSING
CLM000269,C00207,Gold,WV,Water Heater,leak,2024-07-21,denied,partial,1519.92,
CLM000270,C01600,Silver,LA,Washer,won't spin,2024-11-17,in_review,,0.0,
CLM000271,C00653,Platinum,NH,HVAC,refrigerant leak,2024-02-03,approved,denied,0.0,COVERED_MECH
CLM000272,C01907,Platinum,NM,Electrical Panel,loose neutral,2024-10-09,approved,denied,0.0,COVERED_MECH
CLM000273,C00018,Gold,NV,Plumbing,clogged drain,2025-06-16,in_review,,0.0,
CLM000274,C00819,Gold,VT,Plumbing,low pressure,2025-07-10,in_review,,0.0,
CLM000275,C00020,Platinum,MO,Plumbing,leak under sink,2024-02-22,in_review,,0.0,
CLM000276,C01610,Platinum,AK,Microwave,no power,2024-10-12,approved,denied,0.0,EXCLUDED_PREEXIST
CLM000277,C01467,Silver,NV,Electrical Panel,loose neutral,2025-02-05,in_review,,0.0,
CLM000278,C01162,Platinum,MS,Dishwasher,won't start,2025-03-26,submitted,,0.0,
CLM000279,C00474,Platinum,ME,Water Heater,no hot water,2024-04-27,submitted,,0.0,
CLM000280,C01801,Silver,NV,Washer,belt snapped,2024-04-08,submitted,,0.0,
CLM000281,C01559,Platinum,AK,Water Heater,no hot water,2024-11-30,submitted,,0.0,
CLM000282,C01737,Gold,WI,HVAC,no cooling,2025-04-17,approved,denied,0.0,INFO_MISSING
